time_period,primary_id,nemomod_entc_annual_production_by_technology_pp_biogas,nemomod_entc_annual_production_by_technology_pp_biomass,nemomod_entc_annual_production_by_technology_pp_coal,nemomod_entc_annual_production_by_technology_pp_coal_ccs,nemomod_entc_annual_production_by_technology_pp_gas,nemomod_entc_annual_production_by_technology_pp_gas_ccs,nemomod_entc_annual_production_by_technology_pp_geothermal,nemomod_entc_annual_production_by_technology_pp_hydropower,nemomod_entc_annual_production_by_technology_pp_nuclear,nemomod_entc_annual_production_by_technology_pp_ocean,nemomod_entc_annual_production_by_technology_pp_oil,nemomod_entc_annual_production_by_technology_pp_solar,nemomod_entc_annual_production_by_technology_pp_waste_incineration,nemomod_entc_annual_production_by_technology_pp_wind,nemomod_entc_annual_production_by_technology_st_batteries,nemomod_entc_annual_production_by_technology_st_compressed_air,nemomod_entc_annual_production_by_technology_st_flywheels,nemomod_entc_annual_production_by_technology_st_pumped_hydro
32,72072,1.3295691409146737,0.0,76.73458590253308,0.0,1152.2852491395404,0.0,19.86726159932356,75.2575043226605,38.89584933632611,0.0,194.9079116548425,128.87665604359177,9.359885510475904,171.06492371942076,0.0,0.0,0.0,0.0
33,72072,1.4340591859174976,0.0,78.55939716831202,0.0,1179.687535596022,0.0,20.33972134299993,75.2575043226606,38.89584933632611,0.0,199.54298134074617,131.94144841952215,9.06042619546596,174.46035861943136,0.0,0.0,0.0,0.0
34,72072,1.5425459930384176,0.0,80.45220289677769,0.0,1208.1108612026546,0.0,20.829785453229064,75.25750432266078,38.89584933632611,0.0,204.3507587903067,135.12043830987824,8.745082243404678,177.99730894236936,0.0,0.0,0.0,0.0
35,72072,1.654921649347628,0.0,82.42129110558196,0.0,1237.679683013223,0.0,21.33959977093644,75.25750432266094,38.89584933632611,0.0,209.3522957912322,138.42754553956857,8.413730648988476,181.6927361619925,0.0,0.0,0.0,0.0
36,72072,1.7698539792488617,0.0,84.58592334926234,0.0,1270.1848926897685,0.0,21.900042165271547,75.25750432266058,38.89584933632611,0.0,214.85051989909897,142.06307131778814,8.060006979904614,185.7939352871004,0.0,0.0,0.0,0.0
37,72072,1.887851459571548,0.0,86.77558448840516,0.0,1303.0659488859037,0.0,22.466964761563126,75.25750432266084,38.89584933632611,0.0,220.41231807448992,145.74063342569823,7.688701641509539,189.94838351023688,0.0,0.0,0.0,0.0
38,72072,2.0088378802303475,0.0,88.97335243578871,0.0,1336.068741003899,0.0,23.035986282064172,75.25750432266108,38.89584933632611,0.0,225.9947077608118,149.43181101514077,7.298364324713529,194.1213948089379,0.0,0.0,0.0,0.0
39,72072,2.1327663593395556,0.0,91.1790691769866,0.0,1369.1908962194204,0.0,23.607065815444948,75.25750432266089,38.89584933632611,0.0,231.59728759717228,153.13633869899402,6.888754522613852,198.3126266733634,0.0,0.0,0.0,0.0
40,72072,2.259589938979526,0.0,93.37673582810896,0.0,1402.1921672216606,0.0,24.176061109449865,75.25750432266092,38.8958493363261,0.0,237.17941998826672,156.82734616015267,6.458824752684332,202.48928002188785,0.0,0.0,0.0,0.0
41,72072,2.3892885252786704,0.0,95.5676813446825,0.0,1435.0925102771737,0.0,24.743316242395,75.25750432266092,38.89584933632611,0.0,242.74448051686977,160.5070653953401,6.008599605818758,206.65405804874783,0.0,0.0,0.0,0.0
